MUST_WAIT	You have to wait	আপনাকে / তোমাকে একটু অপেক্ষা করতে হবে 	apnake / tomake ektu opekkha korte hobe
WAITING_TIME_DURATION_Q	How long do we have to wait here?	আমাদের এখানে কতক্ষণ অপেক্ষা করতে হবে?	amader ekhane kotokkhon opekkha korte hobe
1_DAY	one day	এক দিন 	ek din
1_HOUR	one hour	এক ঘন্টা	ek ghonta
1_MONTH	one month		
VERYSOON	very soon	খুব শীঘ্রি	khub shighri
TOMORROW	tomorrow	আগামী কাল 	agami kal
DAY_AFTER_TOMORROW	the day after tomorrow	আগামী পরশু	agami porshu
NEXT_WEEK	next week	পরের সপ্তাহে	porer shoptahe
RETURN_SOON	I will be back soon	আমি খুব তাড়াতাড়ি ফিরে আসবো	ami khub taratari fire ashbo
ONE	one	১ এক	ek
TWO	two	২ দুই	dui
THREE	three	৩ তিন	tin
FOUR	four	৪ চার	char
FIVE	five	৫ পাঁচ	pa(n)ch
SIX	six	৬ ছয়	chhoy
SEVEN	seven	৭ সাত	sat
EIGHT	eight	৮ আট	aat
NINE	nine	৯ নয়	noy
TEN	ten	১০ দশ 	dosh
MONDAY	Monday	সোমবার	
TUESDAY	 Tuesday	 মঙ্গলবার	
WEDNESDAY	 Wednesday	 বুধবার	
THURSDAY	 Thursday	 বৃহস্পতিবার	
FRIDAY	 Friday	 শুক্রবার	
SATURDAY	 Saturday	 শনিবার	
SUNDAY	 Sunday	 রবিবার 	
JANUARY	January	জানুয়ারী	
FEBRUARY	 February	 ফেব্রুয়ারী	
MARCH	 March	 মার্চ	
APRIL	 April	 এপ্রিল	
MAY	 May	 মে	
JUNE	 June	 জুন	
JULY	 July	 জুলাই	
AUGUST	 August	 আগস্ট	
SEPTEMBER	 September	 সেপ্টেম্বর	
OCTOBER	 October	 অক্টোবর	
NOVEMBER	 November	 নভেম্বর	
DECEMBER	 December	 ডিসেম্বর 	
	Medical Terms		
NEED_DOCTOR	I need a doctor	আমাকে ডাক্তারের কাছে যেতে হবে	amake daktarer kachhe jete hobe
SUFFER_ICD10_R11	I feel sick/ I don't feel well 	আমার বমি পাচ্ছে / আমার শরীর খারাপ লাগছে	amar bomi pachchhe
EXPERIENCE_ILLNESS	I’m ill / I’m sick	আমি অসুস্থ / আমার শরীর খারাপ	ami osustho / amar shorir kharap
CHILD_ILL	(My child) is sick	আমার বাচ্চাটার অসুখ	amar bachchatar oshukh
PREGNANT	I am pregnant	আমি গর্ভবতী	ami gorbhoboti
SUFFER_ICD10_T78.4	I am having an allergic reaction	আমার এলার্জি আছে/হয়েছে 	
SUFFER_ICD10_H81	I feel dizzy.	আমার মাথা ঘুরছে	amar matha ghurchhe
SUFFER_ICD10_E10	I am diabetic	আমি ডায়বেটিস-এর রোগী / আমার ডায়বেটিস আছে 	
NEED_INSULIN	I need insulin	আমার ইন্সুলিন লাগবে/প্রয়োজন 	
SUFFERED_RAPE	I was raped.	আমাকে ধর্ষণ করা হয়েছে	amake dhorshon kora hoyechhe
SUFFER_ICD10_R10	I have a stomach ache.	আমার পেট ব্যথা করছে	amar pet betha korchhe
SUFFER_ICD10_R50	I have a fever / a temperature	আমার জ্বর	amar jor
SUFFER_ICD10_R51	I have a headache	আমার মাথা ধরেছে / আমার মাথা ব্যথা করছে	amar matha dhorechhe
SUFFER_ICD10_R05	I have a cough.	আমার কাশি  হয়েছে 	amar kashi hoyechhe
CHILD_SUFFER_ICD10_R7.0	My child has a sore throat/ cough	আমার বাচ্চার কাশি হয়েছে	amar bachchare kashi hoyechhe
FLU	cold	ঠান্ডা লাগা 	thanda laga
DIARRHEA	diarrhea	ডায়রিয়া/আমাশা  	dayriya/amasha
ICD10_K59.0	constipation	কষা 	kosha
ICD10_B73.3	vaginal yeast infection (thrush)	ভ্যাজাইনাল ঈস্ট ইনফেকশন	vaginal yeast infection (thrush)
ICD10_B53.3	athlete's foot	পায়ের ফাঙ্গাল ইনফেকশন 	Payer fungal infection
ICD10_B85	head lice	ঊকুন	ukun
			
	Food	খাবারদাবার 	khabardabar 
MEAL_NOON	Lunch	দুপুরের খাবার 	
MEAL_EVENING	Dinner	রাতের খাবার 	
FOOD_HALAL_Q	Is this food Halal?	খাবারটা কি হালাল	khabarta ki halal 
ALLERGY_AGAINST_X	I am allergic to….	আমার ... তে এলার্জি আছে 	amar ... te allergy achhe 
PORK_MEAT	pork	শূকরের মাংস	shukorer mangso
POULTRY_MEAT	poultry	পাখি	pakhi
NO_EAT_PORK	I do not eat pork	আমি শুকরের মাংস খাইনা 	ami shukorer mangsho khaina 
SELF_VEGETARIAN	I am a vegetarian.I don’t eat meat and fish.	আমি ভেজিট্যারিয়ান / আমি কোনো মাছ-মাংস খাইনা 	ami kono machh-mangsho khai na
SELF_VEGAN	I am a vegan	আমি ভেগান 	ami vegan
FISH	fish	মাছ	machh
BREAD	bread	রুটি	ruti
WATER	water	পানি	pani
LEMONADE	lemonade	লেবুর শরবত	lebur shorbot
MILK	milk	দুধ	dudh
COFFEE	coffee	কফি	Kofi
TEA	tea	চা	cha
BEER	beer	বিয়ার 	bier 
FRUITS	fruit	ফল 	Pfol
APPLE	apple	আপেল	Apel
PEAR	pear	নাশপাতি	nashpati
GRAPEFRUIT	grapefruit	বাতাবীলেবু / জাম্বুরা	Batabilebu
APRICOT	apricot	আপ্রিকট 	apricot
POTATOE	potatoes [pl]	আলু	alu
BEAN	beans [pl]	বরবটি / সীম 	borboti /sim
PEA	peas [pl]	মটরশুটি	Motorshuti
CHICKPEA	chickpeas [pl]	চানা 	
AUBERGINE	eggplant (US) / aubergine (UK)	বেগুন 	
CARROT	carrots [pl]	গাজর	Gajor
TOMATO	tomatoes [pl]	টমেটো 	Tomato 
TURNIP	turnip	মূল (সবজি যেমন মূলা)	mul (shobji jemon mula)
FLOUR	flour	আটা / ময়দা 	Ata /moyda
HONEY	honey	মধু 	modhu
CHEESE	cheese	পনির / চিজ 	Ponir
QUARK	quark / cottage cheese 	ছানা 	Chhana
PAPRIKA	paprika	ক্যাপসিকাম গুড়া 	kapsikam gura
SAUCE	sauce	ঝোল / সস 	jhol/sos
BUTTER	butter	মাখন 	makhon
OIL	oil	তেল 	tel
CHEWING_GUM	chewing gum	চ্যুয়িং গাম 	chuying gam
SPOON	spoon	টেবিল চামচ / চা চামচ 	tebil chamoch/ cha chamoch
KNIFE	knife	ছুরি / চাকু 	chhuri/chaku
PLATE	plate	থালা 	thala
GLASS	glass (to drink from)	গ্লাস 	glas
MUG	mug	মগ 	mog
TEAPOT	teapot 	চায়ের কেতলি 	chayer ketli
			
	Clothing	জামাকাপড় 	jamakapor
SHIRT	shirt	শার্ট / জামা	shirt / jama
DRESS	Dress	জামা	 Jama
SKIRT	skirt	স্কার্ট 	skirt 
TROUSERS	trousers (UK) / pants (US)	প্যান্ট 	pant
PULLOVER	jumper (UK) / sweater / pullover	সুয়েটার 	suyetar
COAT	jacket / coat	জ্যাকেট 	jaket
HEADSCARF	veil / hijab / headscarf	হিজাব/ ওড়না 	hijab/orna
SHOE	shoes [pl]	জুতা 	juta
GLOVE	gloves [pl]	হাতমোজা 	hatmoja
SOCK	socks [pl]	মোজা 	moja
UNDERWEAR	underwear	অন্তর্বাস 	ontorbash
			
	Misc	অন্যান্য 	onnanno
BED	bed	বিছানা 	bichhana
BLANKET	blanket	কম্বল 	kombol
LAMP	lamp	বাতি 	bati
TELEPHONE	telephone	টেলিফোন 	telifon
CELLPHONE	mobile phone / cellphone	মুঠোফোন/ মোবাইল টেলিফোন / সেলফোন 	muthofon/mobail telifon/selfon
ELECTRICITY	electricity	বিদ্যুত / কারেন্ট 	biddut/karent
COMPUTER	computer	কম্পিউটার 	kompiutar
INTERNET_CONNECTION	internet connection	ইন্টারনেট সংযোগ 	intarnet shongjog
BATTERY	battery	ব্যাটারি 	batari
ROOM	room	ঘর 	ghori
CHAIR	chair	চেয়ার 	cheyar
TABLE	table	টেবিল 	tebil
TOILET	toilet	বাথরুম / টয়লেট 	bathrum/toilet
TOILET_PAPER	toilet paper	টয়লেট টিস্যু 	toilet tishu
TOOTHBRUSH	toothbrush	দাঁতের ব্রাশ 	da(n)ter brash
TOOTHPASTE	toothpaste	টুথপেস্ট 	tuthpest
SHOWER	shower	শাওয়ার/ গোসল 	shawar/goshol 
BATHTUB	bathtub	বাথটাব 	bathtab
SOAP	soap	সাবান 	shaban
SHAMPOO	shampoo	শ্যাম্পু 	shampu
HANDKERCHIEF	tissue / handkerchief	টিস্যু / রুমাল 	tishu/rumal
CUPBOARD	cupboard	আলমারি 	almari
DOOR	door	দরজা 	dorja
WINDOW	window	জানালা 	janala
WALL	wall	দেয়াল 	deyal
HOUSE	house	বাড়ি 	bari
APARTMENT	apartment / flat	বাসা 	basha
BOOK	book	বই 	boi
NEWSPAPER	newspaper	খবরের কাগজ 	khoborer kagoj
RADIO	radio	বেতার 	betar
TELEVISION	television	টেলিভিশন / দূরদর্শন 	telibhishon
